Index,smiles,logt,Unnamed: 3
TR410,CCCCCCOC(=O)CCN1CCC(CC1)(N(C(=O)CC)c2ccccc2)C(=O)OC,0.6413292175822528,
TR80,CC(=O)Oc1ccccc1C(=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)OC(=O)c1snnc1C,0.1575913593239581,
TR24,COC(=O)c1ccc(cc1)N=NN(C)C(=O)[C@H](Cc1ccc(O)cc1)NC(C)=O,0.6682659540398969,
TR363,C[C@@H](C(=O)OCCn1ccnc1)c2ccc(c(F)c2)c3ccccc3,0.480214653165945,
TR347,CC(=O)NC1=CC=C(OC(=O)COC(=O)CC2=C(NC3=C(Cl)C=CC=C3Cl)C=CC=C2)C=C1,0.6820990082524816,
TR205,CN(Cc1cc(C(OCCOCn2c3c(C(NC(N)=C3)=O)nc2)=O)ccc1)C,0.4006982435231307,
TR250,CCOC(=O)c1ccc(cc1)N=NN(C)C(=O)OCOC(=O)c2ccccc2,0.561020403759558,
TR333,COC(=O)C1=CC(=CC=C1)C(=O)NC1=CC=CC(=C1)C1=C(CN)C=CC(=C1)C(=O)NC1=C(F)C=NC=C1,0.5870135587981861,
TR292,COC(=O)[C@@H](C)c1ccc2cc(OC)ccc2c1,0.7214568264195574,
TR354,CCN(CC)C(=O)COC(=O)[C@H](C)c1ccc(CC(C)C)cc1,0.2368675625055316,
TR138,CC(=O)Nc1ccc(OC(=O)NCC(O)COc2cc(C)cc(C)c2)cc1,0.5573592915307666,
TR282,Cc1n(CCOC(CN2CCN(c3ccccc3)CC2)=O)c([N+]([O-])=O)cn1,0.6517044587722626,
TR248,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)OCN(CC(=O)OCC)C(=O)c2ccccc2,0.5592097465956838,
TR210,CCN(CC)C(=O)COC(=O)[C@H]1O[C@@H](Oc2cc3OC(=CC(=O)c3c(O)c2O)c4ccc(O)cc4)[C@H](O)[C@@H](O)[C@@H]1O,0.4307275329032847,
